id,exercise_id,score,user_id
1,111,0.00000000,4
2,111,0.00000000,4
3,111,0.00000000,4
4,112,0.00000000,4
5,112,0.00000000,4
6,113,0.00000000,4
7,113,0.00000000,4
8,114,0.00000000,4
9,114,0.00000000,4
10,198,0.00000000,5
11,200,0.00000000,5
12,121,0.00000000,6
13,121,0.00000000,6
14,109,0.00000000,7
15,109,0.00000000,7
16,110,0.00000000,7
17,111,0.00000000,7
18,101,0.00000000,8
19,102,0.00000000,8
20,101,0.00000000,8
21,101,0.00000000,8
22,101,0.00000000,8
23,101,0.00000000,8
24,102,0.00000000,8
25,101,0.00000000,8
26,101,0.00000000,8
27,102,0.00000000,8
28,103,0.00000000,8
29,101,0.00000000,8
30,101,0.00000000,8
31,102,0.00000000,8
32,103,0.00000000,8
33,103,0.00000000,8
34,101,0.00000000,8
35,102,0.00000000,8
36,101,0.00000000,8
37,102,0.00000000,8
38,101,0.00000000,8
39,102,0.00000000,8
40,101,0.00000000,8
41,102,0.00000000,8
42,101,0.00000000,8
43,101,0.00000000,8
44,102,0.00000000,8
45,102,0.00000000,8
46,103,0.00000000,8
47,101,0.00000000,8
23275,24,100.00000000,1
48,102,0.00000000,8
49,101,0.00000000,8
50,102,0.00000000,8
51,103,0.00000000,8
52,102,0.00000000,8
53,102,0.00000000,8
54,101,0.00000000,8
55,101,0.00000000,8
56,101,0.00000000,8
57,101,0.00000000,8
58,101,0.00000000,8
59,102,0.00000000,8
60,101,0.00000000,8
61,102,0.00000000,8
62,102,0.00000000,8
63,101,0.00000000,8
64,102,0.00000000,8
65,103,0.00000000,8
66,81,0.00000000,8
67,101,0.00000000,8
68,102,0.00000000,8
69,103,0.00000000,8
70,101,0.00000000,8
71,102,0.00000000,8
72,103,0.00000000,8
73,101,0.00000000,8
74,101,0.00000000,8
75,102,0.00000000,8
76,101,0.00000000,8
77,101,0.00000000,8
78,101,0.00000000,8
79,101,0.00000000,8
80,102,0.00000000,8
81,103,0.00000000,8
82,101,0.00000000,8
83,101,0.00000000,8
84,101,0.00000000,8
85,101,0.00000000,8
86,101,0.00000000,8
87,101,0.00000000,8
88,101,0.00000000,8
89,102,0.00000000,8
90,101,0.00000000,8
91,101,0.00000000,8
92,101,0.00000000,8
93,102,0.00000000,8
94,101,0.00000000,8
95,102,0.00000000,8
96,103,0.00000000,8
97,102,0.00000000,8
98,103,0.00000000,8
99,101,0.00000000,8
100,102,0.00000000,8
101,103,0.00000000,8
102,101,0.00000000,8
103,101,0.00000000,8
104,102,0.00000000,8
105,101,0.00000000,8
